academic_year,tcas_round_code,tcas_round_name,application_choices,unique_applicants,confirmed_unique_applicants,unique_majors,source_files,avg_score,applicant_rows,selected_rows,excluded_second_processing_rows,selected_in_better_choice_rows,confirmed_elsewhere_rows,confirmed_rows,surrendered_rows,round2_surrendered_rows,rejected_rows,no_action_rows,not_used_rows
2568,TCAS1,Portfolio,1385,1320,191,8,2,0.0,0,0,0,0,170,191,1,8,988,22,5
2568,TCAS2,Quota,519,518,112,8,2,0.0,0,0,0,0,17,112,1,0,372,8,9
2568,TCAS3,Admission,2711,1810,214,8,1,38.9932,400,0,1,1097,0,214,22,0,971,4,2
2568,TCAS4,Direct Admission,238,238,11,2,1,0.0,0,1,0,0,4,11,0,0,220,0,2
2569,TCAS1,Portfolio,1391,1324,163,8,1,0.0,0,0,0,0,187,163,0,6,1012,9,14
2569,TCAS2,Quota,614,614,90,8,2,0.0,0,0,0,0,18,90,0,0,490,5,11
2569,TCAS3,Admission,2379,1620,283,8,1,36.7647,0,0,1,1191,0,283,26,0,870,3,5
2569,TCAS4,Direct Admission,195,195,9,4,1,0.0,0,0,0,0,5,9,0,0,180,1,0
