academic_year,tcas_round_code,tcas_round_name,project_id,fac_id,fac_name,major_id,major_name,major_type,application_choices,unique_applicants,confirmed_unique_applicants,applicant_status_1_rows,applicant_status_2_rows,applicant_status_3_rows,avg_score,min_score,max_score,avg_priority,min_priority,max_priority,applicant_rows,selected_rows,excluded_second_processing_rows,selected_in_better_choice_rows,confirmed_elsewhere_rows,confirmed_rows,surrendered_rows,round2_surrendered_rows,rejected_rows,no_action_rows,not_used_rows
2568,TCAS2,Quota,B2500,E,วิศวกรรมศาสตร์ กำแพงแสน,E38,วิศวกรรมโยธา-โครงสร้างพื้นฐาน (ภาคพิเศษ),ภาคพิเศษ,17,17,9,0,12,5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,9,0,0,5,1,1
2568,TCAS2,Quota,B2500,E,วิศวกรรมศาสตร์ กำแพงแสน,E39,วิศวกรรมนวัตกรรมเพื่อการเกษตรและอุตสาหกรรม,ภาคปกติ,6,6,2,0,4,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,2,2,0
2568,TCAS3,Admission,C28xx,E,วิศวกรรมศาสตร์ กำแพงแสน,E03,วิศวกรรมเครื่องกล,ภาคปกติ,358,358,25,67,26,265,35.6015,21.6444,53.9221,5.067,1,10,67,0,0,153,0,25,0,0,112,0,1
2568,TCAS3,Admission,C28xx,E,วิศวกรรมศาสตร์ กำแพงแสน,E03,วิศวกรรมเครื่องกล (ภาคพิเศษ),ภาคพิเศษ,226,226,22,28,25,173,31.1507,20.9554,43.1776,5.3496,1,10,28,0,0,80,0,22,3,0,93,0,0
2568,TCAS3,Admission,C28xx,E,วิศวกรรมศาสตร์ กำแพงแสน,E04,วิศวกรรมโยธา-ชลประทาน,ภาคปกติ,379,379,20,56,20,303,49.224,27.466,67.7886,4.496,1,10,56,0,0,143,0,20,0,0,160,0,0
2568,TCAS3,Admission,C28xx,E,วิศวกรรมศาสตร์ กำแพงแสน,E24,วิศวกรรมอุตสาหการ-โลจิสติกส์,ภาคปกติ,261,261,20,32,23,206,35.7684,23.4124,56.6263,5.0881,1,10,32,0,0,119,0,20,3,0,87,0,0
2568,TCAS3,Admission,C28xx,E,วิศวกรรมศาสตร์ กำแพงแสน,E29,วิศวกรรมคอมพิวเตอร์,ภาคปกติ,384,384,28,76,30,278,40.7674,15.461,67.894,4.6172,1,10,76,0,0,137,0,28,2,0,141,0,0
2568,TCAS3,Admission,C28xx,E,วิศวกรรมศาสตร์ กำแพงแสน,E36,วิศวกรรมอาหาร,ภาคปกติ,204,204,23,22,28,154,34.5253,23.3996,48.1554,5.3578,1,10,22,0,1,96,0,23,3,0,58,1,0
2568,TCAS3,Admission,C28xx,E,วิศวกรรมศาสตร์ กำแพงแสน,E37,วิศวกรรมเครื่องกล-เกษตร,ภาคปกติ,306,306,23,32,28,246,46.0421,25.311,64.2276,5.4673,1,10,32,0,0,149,0,23,4,0,97,1,0
2568,TCAS3,Admission,C28xx,E,วิศวกรรมศาสตร์ กำแพงแสน,E38,วิศวกรรมโยธา-โครงสร้างพื้นฐาน,ภาคปกติ,308,308,19,52,20,236,35.6516,22.5164,63.3832,4.7987,1,10,52,0,0,116,0,19,0,0,120,1,0
2568,TCAS3,Admission,C28xx,E,วิศวกรรมศาสตร์ กำแพงแสน,E38,วิศวกรรมโยธา-โครงสร้างพื้นฐาน (ภาคพิเศษ),ภาคพิเศษ,211,211,22,26,26,159,33.0021,24.2832,42.3246,5.0569,1,10,26,0,0,67,0,22,2,0,92,1,1
2568,TCAS3,Admission,C28xx,E,วิศวกรรมศาสตร์ กำแพงแสน,E39,วิศวกรรมนวัตกรรมเพื่อการเกษตรและอุตสาหกรรม,ภาคปกติ,74,74,12,9,17,48,43.2799,25.6494,61.7886,5.2838,1,10,9,0,0,37,0,12,5,0,11,0,0
2568,TCAS4,Direct Admission,D3100,E,วิศวกรรมศาสตร์ กำแพงแสน,E38,วิศวกรรมโยธา-โครงสร้างพื้นฐาน,ภาคปกติ,201,201,0,0,6,195,0.0,0.0,0.0,0.0,0,0,0,1,0,0,3,0,0,0,195,0,2
2568,TCAS4,Direct Admission,D3100,E,วิศวกรรมศาสตร์ กำแพงแสน,E38,วิศวกรรมโยธา-โครงสร้างพื้นฐาน (ภาคพิเศษ),ภาคพิเศษ,25,25,4,0,4,21,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,0,0,21,0,0
2568,TCAS4,Direct Admission,D3100,E,วิศวกรรมศาสตร์ กำแพงแสน,E39,วิศวกรรมนวัตกรรมเพื่อการเกษตรและอุตสาหกรรม,ภาคปกติ,12,12,7,0,8,4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,7,0,0,4,0,0
