date,platform,text,keyword,sentiment,likes,comments,shares,views,url,author
2025-01-08,Facebook,"ผู้โพสต์ในกลุ่ม TCAS สอบถามโอกาสเข้าวิศวะ ม.เกษตร และกังวลคะแนน A-Level","TCAS วิศวะเกษตร",Neutral,35,24,0,0,https://www.facebook.com/groups/2879980145593656/?multi_permalinks=3905995039658823,public-group
2026-01-14,Facebook,"ผู้โพสต์ในกลุ่ม TCAS สอบถามความเป็นไปได้ในการเข้าเรียนวิศวะไฟฟ้า กลุ่มมหาวิทยาลัยสามพระจอม หรือ ม.เกษตรศาสตร์","TCAS วิศวะเกษตร",Neutral,6,10,1,0,https://www.facebook.com/groups/2879980145593656/?multi_permalinks=4256576554600668,public-group
2026-04-06,Facebook,"ผู้โพสต์ในกลุ่ม TCAS ขอคำแนะนำเปรียบเทียบสาขาวิศวกรรม รวมถึงวิศวะโยธา-น้ำ ม.เกษตร กับตัวเลือกมหาวิทยาลัยอื่น","TCAS วิศวะเกษตร",Neutral,1,4,0,0,https://www.facebook.com/groups/2879980145593656/?multi_permalinks=4343062045952118,public-group
